Form,Strength,DrugName
Injectable/Injection,2%,Nesacaine-Mpf
Injectable/Injection,3%,Nesacaine-Mpf
Tablet/Oral,0.1MG,Acylanid
Syrup/Oral,EQ 500MG BASE/5ML,Multifuge
Tablet/Oral,0.1MG,Serpate
Tablet/Oral,0.25MG,Serpate
Tablet/Oral,25MG,Cortisone Acetate
Solution/Oral,2%,Xylocaine Viscous
Tablet/Oral,50MG,Rauwolfia Serpentina
Tablet/Oral,100MG,Rauwolfia Serpentina
Injectable/Injection,50MG/ML,Benadryl Preservative Free
Tablet/Oral,25MG,Pathilon
Injectable/Injection,50MG/ML,Marezine
Injectable/Injection,EQ,Aramine
Tablet/Oral,250MG,Doriden
Tablet/Oral,500MG,Doriden
Capsule/Oral,500MG,Doriden
Injectable/Injection,50%,Hypaque
Solution/Ureteral,20%,Hypaque Sodium 20%
Injectable/Injection,25%,Hypaque
Cream/Topical,1%,Cort-Dome
Cream/Topical,0.50%,Cort-Dome
Tablet/Oral,0.1MG,Reserpine
Tablet/Oral,0.25MG,Reserpine
Tablet/Oral,0.1MG,Hiserpia
Tablet/Oral,0.25MG,Hiserpia
Injectable/Injection,25MG/ML,Hydrocortisone Acetate
Injectable/Injection,50MG/ML,Hydrocortisone Acetate
Tablet/Oral,0.25MG,Serpivite
Tablet/Oral,10MG,Hydrocortisone
Tablet/Oral,20MG,Hydrocortisone
Tablet/Oral,50MG,Noludar
Tablet/Oral,200MG,Noludar
Elixir/Oral,50MG/5ML,Noludar
Capsule/Oral,300MG,Noludar
Tablet/Oral,0.1MG,Reserpine
Tablet/Oral,0.25MG,Reserpine
Tablet/Oral,0.1MG,Reserpine
Tablet/Oral,0.25MG,Reserpine
Tablet/Oral,50MG,Rauwolfia Serpentina
Tablet/Oral,100MG,Rauwolfia Serpentina
Tablet/Oral,400MG,Miltown
Tablet/Oral,200MG,Miltown
Injectable/Injection,10MG/ML,Pathilon
Capsule/Oral,500MG,Valmid
Tablet/Oral,5MG,Meticorten
Tablet/Oral,1MG,Meticorten
Tablet/Oral,200MG,Plaquenil
Injectable/Injection,20MG/ML,Mylaxen
Tablet/Vaginal,10MG,Cortril
Tablet/Oral,5MG,Kemadrin
Tablet/Oral,2MG,Kemadrin
Tablet/Oral,60MG,Mestinon
Injectable/Injection,5MG/ML,Mestinon
Tablet/Oral,0.1MG,Reserpine
Tablet/Oral,0.25MG,Reserpine
Injectable/Injection,40 UNITS/ML,Cortrophin-Zinc
Tablet/Oral,0.1MG,Reserpine
Tablet/Oral,0.25MG,Reserpine
Injectable/Injection,50MG/ML,Cortef
Injectable/Injection,EQ 100MG BASE/VIAL,Solu-Cortef
Injectable/Injection,EQ 250MG BASE/VIAL,Solu-Cortef
Injectable/Injection,EQ 500MG BASE/VIAL,Solu-Cortef
Injectable/Injection,EQ 1GM BASE/VIAL,Solu-Cortef
Lotion/Topical,1%,Cort-Dome
Lotion/Topical,0.50%,Cort-Dome
Suspension/Oral,EQ 10MG BASE/5ML,Cortef
Solution/Topical,1%,Dyclone
Solution/Topical,0.50%,Dyclone
Tablet/Oral,50MG,Rauserpin
Tablet/Oral,100MG,Rauserpin
Tablet/Oral,5MG,Deltasone
Tablet/Oral,2.5MG,Deltasone
Tablet/Oral,10MG,Deltasone
Tablet/Oral,20MG,Deltasone
Tablet/Oral,50MG,Deltasone
Tablet/Oral,5MG,Delta-Cortef
Tablet/Oral,5MG,Sterane
Injectable/Injection,250MG/5ML,Stilphostrol
Tablet/Oral,50MG,Stilphostrol
Injectable/Injection,2.5MG/ML,Sandril
Capsule/Oral,500MG,Placidyl
Capsule/Oral,100MG,Placidyl
Capsule/Oral,200MG,Placidyl
Capsule/Oral,750MG,Placidyl
Tablet/Oral,400MG,Equanil
Tablet/Oral,200MG,Equanil
Injectable/Injection,66%;10%,Renografin-76
Injectable/Injection,52%;8%,Renografin-60
Injectable/Injection,30%,Reno-Dip
Injectable/Injection,60%,Reno-60
Injectable/Injection,76%,Diatrizoate Meglumine
Solution/Urethral,30%,Cystografin
Injectable/Injection,28.5%;29.1%,Renovist Ii
Injectable/Injection,34.3%;35%,Renovist
Solution/Ureteral,30%,Reno-30
Solution/Urethral,18%,Cystografin Dilute
Tablet/Oral,0.1MG,Florinef
"Capsule, Extended Release/Oral",EQ 10MG BASE;EQ 10MG BASE,Biphetamine 20
"Capsule, Extended Release/Oral",EQ 6.25MG BASE;EQ 6.25MG BASE,Biphetamine 12.5
"Capsule, Extended Release/Oral",EQ 3.75MG BASE;EQ 3.75MG BASE,Biphetamine 7.5
Tablet/Oral,5MG,Mephyton
Tablet/Oral,0.1MG,Serpalan
Tablet/Oral,0.25MG,Serpalan
Injectable/Injection,50MG/ML,Dilantin
Tablet/Oral,10MG,Mytelase
Tablet/Oral,5MG,Ritalin
Tablet/Oral,10MG,Ritalin
Tablet/Oral,20MG,Ritalin
Cream/Topical,0.50%,Meti-Derm
Suspension/Drops/Ophthalmic,0.5%;10%,Metimyd
Ointment/Ophthalmic,0.5%;10%,Metimyd
Injectable/Injection,60%;30%,"Hypaque-M,90%"
Injectable/Injection,50%;25%,"Hypaque-M,75%"
Tablet/Oral,2.5MG,Inversine
Injectable/Injection,25MG/ML,Meticortelone
Injectable/Injection,250MG/ML,Delalutin
Injectable/Injection,125MG/ML,Delalutin
Tablet/Oral,25MG,Sparine
Tablet/Oral,50MG,Sparine
Tablet/Oral,100MG,Sparine
Tablet/Oral,200MG,Sparine
Tablet/Oral,10MG,Sparine
Injectable/Injection,50MG/ML,Sparine
Injectable/Injection,25MG/ML,Sparine
Capsule/Oral,2.5MG,Quarzan
Capsule/Oral,5MG,Quarzan
"Aerosol, Metered/Inhalation",0.3MG/INH,Medihaler-Epi
"Aerosol, Metered/Inhalation",0.08MG/INH,Medihaler-Iso
"Aerosol, Metered/Inhalation",0.12MG/INH,Isoproterenol Hydrochloride
Tablet/Oral,EQ 0.005MG BASE,Cytomel
Tablet/Oral,EQ 0.025MG BASE,Cytomel
Tablet/Oral,EQ 0.05MG BASE,Cytomel
Tablet/Oral,10MG,Atarax
Tablet/Oral,25MG,Atarax
Tablet/Oral,100MG,Atarax
Tablet/Oral,50MG,Atarax
Suspension/Oral,250MG/5ML,Mysoline
Injectable/Injection,25MG/VIAL,Premarin
Injectable/Injection,4%,Xylocaine 4% Preservative Free
Solution/Topical,4%,Xylocaine 4% Preservative Free
Injectable/Injection,1%,Xylocaine
Injectable/Injection,0.005MG/ML;1%,Xylocaine W/ Epinephrine
Injectable/Injection,2%,Xylocaine
Injectable/Injection,0.005MG/ML;2%,Xylocaine W/ Epinephrine
Injectable/Injection,1.50%,Xylocaine
Injectable/Injection,0.005MG/ML;1.5%,Xylocaine W/ Epinephrine
Injectable/Injection,1MG/ML,Lorfan
Tablet/Oral,0.1MG,Reserpine
Tablet/Oral,0.25MG,Reserpine
Tablet/Oral,0.5MG,Reserpine
Tablet/Oral,1MG,Reserpine
Tablet/Oral,25MG,Preludin
Syrup/Oral,10MG/5ML,Atarax
Injectable/Spinal,5%,Xylocaine 5% W/ Glucose 7.5%
Injectable/Injection,0.2MG/ML,Isuprel
Injectable/Injection,25MG/ML,Leritine
"Tablet, Extended Release/Oral",100MG,Pbz-Sr
"Tablet, Extended Release/Oral",50MG,Pbz-Sr
Ointment/Topical,0.50%,Magnacort
Injectable/Injection,20MG/ML,Hydeltra-Tba
Tablet/Oral,EQ,Compazine
Tablet/Oral,EQ,Compazine
Tablet/Oral,EQ,Compazine
Tablet/Oral,50MG,Hyserpin
Tablet/Oral,EQ 25MG BASE,Leritine
Capsule/Oral,150MG,Celontin
Capsule/Oral,300MG,Celontin
"Tablet, Extended Release/Oral",10MG;10MG,Bendectin
Tablet/Oral,25MG,Tral
Tablet/Oral,2MG,Halotestin
Tablet/Oral,5MG,Halotestin
Tablet/Oral,10MG,Halotestin
Tablet/Oral,50MG,Disipal
Ointment/Ophthalmic,0.03%,Floropryl
Tablet/Oral,2MG,Leukeran
Tablet/Oral,500MG,Orinase
Tablet/Oral,250MG,Orinase
Tablet/Oral,25MG,Cantil
Solution/Oral,25MG/5ML,Cantil
Tablet/Oral,0.25MG,Moderil
Tablet/Oral,0.5MG,Moderil
Shampoo/Topical,1%,Kwell
Tablet/Oral,50MG,Antivert
Tablet/Oral,25MG,Antivert
"Tablet, Chewable/Oral",25MG,Antivert
Tablet/Oral,12.5MG,Antivert
Injectable/Injection,EQ,Compazine
Tablet/Oral,EQ 5MG BASE,Darbid
Injectable/Injection,40MG/AMP,Estradurin
Tablet/Oral,2MG,Trilafon
Tablet/Oral,4MG,Trilafon
Tablet/Oral,8MG,Trilafon
Tablet/Oral,16MG,Trilafon
Injectable/Injection,EQ 50MG IRON/ML,Iron Dextran
Injectable/Injection,0.05MG/ML,Rubivite
Injectable/Injection,0.1MG/ML,Rubivite
Injectable/Injection,1MG/ML,Rubivite
Injectable/Injection,0.03MG/ML,Rubivite
Injectable/Injection,0.12MG/ML,Rubivite
Tablet/Oral,0.1MG,Harmonyl
Tablet/Oral,0.25MG,Harmonyl
Tablet/Oral,4MG,Dimetane
"Tablet, Extended Release/Oral",8MG,Dimetane
"Tablet, Extended Release/Oral",12MG,Dimetane
Injectable/Injection,40 UNITS/ML,Corticotropin
Injectable/Injection,80 UNITS/ML,Corticotropin
Tablet/Oral,250MG,Peganone
Tablet/Oral,500MG,Peganone
Tablet/Oral,5MG,Norlutin
Tablet/Oral,50MG,Miradon
Tablet/Oral,50MG,Bucladin-S
Suppository/Rectal,25MG,Phenergan
Suppository/Rectal,12.5MG,Phenergan
"Solution/Injection, Oral",1-8mCi/VIAL,Phosphotope
Capsule/Oral,1-130mCi,Iodotope
Solution/Oral,7-106mCi/BOT,Iodotope
Capsule/Oral,1-150mCi,Iodotope
Concentrate/Oral,30MG/ML,Sparine
Syrup/Oral,10MG/5ML,Sparine
Concentrate/Oral,100MG/ML,Sparine
Tablet/Oral,5MG,Paracort
Tablet/Oral,0.45MG;400MG,Pmb 400
Tablet/Oral,0.45MG;200MG,Pmb 200
Tablet/Oral-20,0.075MG;5MG,Enovid
Tablet/Oral,0.15MG;9.85MG,Enovid
Tablet/Oral-20,0.1MG;2.5MG,Enovid-E
Tablet/Oral-21,0.1MG;2.5MG,Enovid-E 21
Tablet/Oral,0.075MG;5MG,Enovid
Capsule/Oral,325MG;65MG,Darvon W/ Asa
Capsule/Oral,389MG;32.4MG;32MG,Darvon Compound
Capsule/Oral,389MG;32.4MG;65MG,Darvon Compound-65
Capsule/Oral,32MG,Darvon
Capsule/Oral,65MG,Darvon
"Capsule, Extended Release/Oral",EQ 10MG BASE,Compazine
"Capsule, Extended Release/Oral",EQ 15MG BASE,Compazine
"Capsule, Extended Release/Oral",EQ 30MG BASE,Compazine
"Capsule, Extended Release/Oral",EQ 75MG BASE,Compazine
Tablet/Oral,500MG,Robaxin
Tablet/Oral,750MG,Robaxin-750
"Ointment/Ophthalmic, Otic",EQ 0.25% PHOSPHATE,Hydeltrasol
Tablet/Oral,0.45MG;400MG,Milprem-400
Tablet/Oral,0.45MG;200MG,Milprem-200
Tablet/Oral,125MG,Cardrase
Tablet/Oral,62.5MG,Cardrase
Capsule/Oral,500MG,Wampocap
Tablet/Oral,2.5MG,Actidil
Injectable/Injection,25MG/ML,Vistaril
Injectable/Injection,50MG/ML,Vistaril
"Capsule, Extended Release/Oral",30MG,Thorazine
"Capsule, Extended Release/Oral",75MG,Thorazine
"Capsule, Extended Release/Oral",150MG,Thorazine
"Capsule, Extended Release/Oral",200MG,Thorazine
"Capsule, Extended Release/Oral",300MG,Thorazine
Tablet/Oral,10MG,Vesprin
Tablet/Oral,25MG,Vesprin
Tablet/Oral,50MG,Vesprin
Suppository/Rectal,5MG,Compazine
Suppository/Rectal,25MG,Compazine
Suppository/Rectal,2.5MG,Compazine
Tablet/Oral,500MG,Diuril
Tablet/Oral,250MG,Diuril
Injectable/Injection,EQ 500MG BASE/VIAL,Diuril
Tablet/Oral,4MG,Medrol
Tablet/Oral,2MG,Medrol
Tablet/Oral,16MG,Medrol
Tablet/Oral,8MG,Medrol
Tablet/Oral,24MG,Medrol
Tablet/Oral,32MG,Medrol
Tablet/Oral,2MG,Aristocort
Tablet/Oral,4MG,Aristocort
Tablet/Oral,1MG,Aristocort
Tablet/Oral,16MG,Aristocort
Tablet/Oral,8MG,Aristocort
"Aerosol, Metered/Inhalation",0.103MG/INH,Isuprel
Tablet/Oral,0.1MG,Reserpine
Tablet/Oral,0.25MG,Reserpine
Syrup/Oral,EQ 5MG BASE/5ML,Compazine
Injectable/Injection,0.5MG/ML;2.3MG/ML;1MG/ML,Depinar
Capsule/Oral,100MG,Tessalon
Capsule/Oral,200MG,Tessalon
Injectable/Injection,5MG/ML,Trilafon
Tablet/Oral,3MG,Liquamar
"Solution/Oral, Rectal",66%;10%,Gastrografin
Syrup/Oral,15MG/5ML;6.25MG/5ML,Promethazine Hydrochloride And Dextromethorphan Hydrobromide
Tablet/Oral,100MG,Furoxone
Concentrate/Oral,EQ 10MG BASE/ML,Compazine
Tablet/Oral,1MG,Kenacort
Tablet/Oral,4MG,Kenacort
Tablet/Oral,2MG,Kenacort
Tablet/Oral,8MG,Kenacort
"Capsule, Extended Release/Oral",200MG,Meprospan
"Capsule, Extended Release/Oral",400MG,Meprospan
"Powder/Oral, Rectal",453.6GM/BOT,Kayexalate
Syrup/Oral,2MG/5ML,Trilafon
Tablet/Oral,250MG,Paraflex
Tablet/Oral,EQ 2.5MG BASE,Temaril
Syrup/Oral,EQ 2.5MG BASE/5ML,Temaril
"Capsule, Extended Release/Oral",EQ 5MG BASE,Temaril
Suspension/Oral,50MG/15ML,Furoxone
Solution/Intrauterine,52.7%;26.8%,Sinografin
Injectable/Injection,20MG/ML,Vesprin
Injectable/Injection,10MG/ML,Vesprin
Injectable/Injection,3MG/ML,Vesprin
Liquid/Inhalation,99.99%,Fluothane
Solution/Drops/Otic,10%,Cerumenex
Tablet/Oral,2MG,Ora-Testryl
Tablet/Oral,5MG,Ora-Testryl
"Tablet, Extended Release/Oral",8MG,Trilafon
Tablet/Oral,50MG,Daranide
Tablet/Oral,50MG,Keveyis
"For Solution/Oral, Rectal",100%,Hypaque
"Solution/Oral, Rectal",40%,Hypaque
Injectable/Injection,10MG/ML,Dimetane-Ten
Capsule/Oral,25MG,Tace
Injectable/Injection,25MG/ML,Sterane
Capsule/Oral,EQ 25MG HCL,Vistaril
Capsule/Oral,EQ 50MG HCL,Vistaril
Capsule/Oral,EQ,Vistaril
Tablet/Oral,100MG,Trancopal
Tablet/Oral,200MG,Trancopal
Capsule/Oral,356.4MG;30MG;16MG,Synalgos-Dc
Suspension/Oral,EQ 50MG HCL/5ML,Vesprin
Syrup/Oral,1.25MG/5ML,Actidil
Tablet/Oral,50MG,Rauwolfia Serpentina
Tablet/Oral,100MG,Rauwolfia Serpentina
Tablet/Oral,2.5MG;2.5MG;2.5MG;2.5MG,Adderall 10
Tablet/Oral,5MG;5MG;5MG;5MG,Adderall 20
Tablet/Oral,1.25MG;1.25MG;1.25MG;1.25MG,Adderall 5
Tablet/Oral,7.5MG;7.5MG;7.5MG;7.5MG,Adderall 30
Tablet/Oral,1.875MG;1.875MG;1.875MG;1.875MG,Adderall 7.5
Tablet/Oral,3.125MG;3.125MG;3.125MG;3.125MG,Adderall 12.5
Tablet/Oral,3.75MG;3.75MG;3.75MG;3.75MG,Adderall 15
Injectable/Injection,25MG/VIAL,Ic-Green
Injectable/Injection,50MG/VIAL,Ic-Green
Injectable/Injection,10MG/VIAL,Ic-Green
Injectable/Injection,40MG/VIAL,Ic-Green
Tablet/Oral,500MG,Parafon Forte Dsc
Tablet/Oral,EQ,Stelazine
Tablet/Oral,EQ,Stelazine
Tablet/Oral,EQ,Stelazine
Tablet/Oral,EQ,Stelazine
Injectable/Injection,EQ,Stelazine
Concentrate/Oral,EQ,Stelazine
Tablet/Oral,100MG,Anturane
Capsule/Oral,200MG,Anturane
Concentrate/Oral,16MG/5ML,Trilafon
Injectable/Injection,500MG/VIAL,Brevital Sodium
Injectable/Injection,2.5GM/VIAL,Brevital Sodium
Injectable/Injection,5GM/VIAL,Brevital Sodium
Injectable/Injection,200MG/VIAL,Brevital Sodium
Injectable/Injection,EQ 20MG PHOSPHATE/ML,Hydeltrasol
Ointment/Topical,0.10%,Kenalog
Ointment/Topical,0.03%,Kenalog
Cream/Topical,0.03%,Triamcinolone Acetonide
Cream/Topical,0.10%,Triamcinolone Acetonide
Lotion/Topical,0.10%,Kenalog
Lotion/Topical,0.03%,Kenalog
Tablet/Oral,10MG,Daricon
"Capsule, Extended Release/Oral",EQ,Ionamin
"Capsule, Extended Release/Oral",EQ,Ionamin
Injectable/Injection,85%,Cardiografin
Tablet/Oral,250MG;0.125MG,Diupres-250
Tablet/Oral,500MG;0.125MG,Diupres-500
Tablet/Oral,100MG,Diabinese
Tablet/Oral,250MG,Diabinese
Tablet/Oral,275MG,Cardioquin
Solution/Irrigation,N/A,Betaprone
Tablet/Oral,0.5MG,Decadron
Tablet/Oral,0.75MG,Decadron
Tablet/Oral,1.5MG,Decadron
Tablet/Oral,0.25MG,Decadron
Tablet/Oral,4MG,Decadron
Tablet/Oral,6MG,Decadron
"Tablet, Extended Release/Oral",180MG,Mestinon
Tablet/Oral,25MG,Tepanil
Suspension/Rectal,400MG/GM,Pentothal
Injectable/Injection,15MG/VIAL,Thiotepa
Injectable/Injection,25MG/ML,Aristocort
Suppository/Rectal,50MG,Phenergan
Powder/Oral,50%,Pheny-Pas-Tebamin
Tablet/Oral,500MG,Pheny-Pas-Tebamin
Tablet/Oral,325MG;200MG,Equagesic
Injectable/Injection,1.5MG/ML,Opana
Injectable/Injection,1MG/ML,Opana
Injectable/Injection,EQ 20MG BASE/VIAL,Methotrexate Sodium
Injectable/Injection,EQ 50MG BASE/VIAL,Methotrexate Sodium
Injectable/Injection,EQ 2.5MG BASE/ML,Methotrexate Sodium
Injectable/Injection,EQ 25MG BASE/ML,Methotrexate Sodium
Injectable/Injection,EQ 100MG BASE/VIAL,Methotrexate Sodium
Injectable/Injection,EQ 25MG BASE/ML,Methotrexate Lpf
Injectable/Injection,EQ 1GM BASE/VIAL,Methotrexate Sodium Preservative Free
Injectable/Injection,EQ 50MG BASE/2ML (EQ 25MG BASE/ML),Methotrexate Sodium
Injectable/Injection,EQ 2.5GM BASE/100ML (EQ 25MG BASE/ML),Methotrexate Preservative Free
Injectable/Injection,EQ 1GM BASE/40ML (EQ 25MG BASE/ML),Methotrexate Sodium Preservative Free
Injectable/Injection,EQ,Methotrexate Preservative Free
Injectable/Injection,EQ 20MG BASE/2ML (EQ 10MG BASE/ML),Methotrexate Preservative Free
Tablet/Oral,50MG,Neptazane
Tablet/Oral,25MG,Neptazane
Tablet/Oral,25MG,Tenuate
Injectable/Injection,25MG/ML;25MG/ML,Mepergan
Suppository/Rectal,5MG,Numorphan
Injectable/Injection,1MG/0.5ML,Konakion
Injectable/Injection,10MG/ML,Konakion
Cream/Topical,0.03%,Oxylone
Tablet/Oral,2.5MG,Prolixin
Tablet/Oral,10MG,Prolixin
Tablet/Oral,5MG,Prolixin
Tablet/Oral,1MG,Prolixin
Injectable/Injection,2.5MG/ML,Prolixin
"Tablet, Extended Release/Oral",75MG,Preludin
"Tablet, Extended Release/Oral",50MG,Preludin
Injectable/Injection,40MG/ML,Depo-Medrol
Injectable/Injection,20MG/ML,Depo-Medrol
Injectable/Injection,80MG/ML,Depo-Medrol
Tablet/Oral,25MG,Athrombin
Tablet/Oral,10MG,Athrombin
Tablet/Oral,5MG,Athrombin
Tablet/Oral,5MG,Athrombin-K
Tablet/Oral,10MG,Athrombin-K
Tablet/Oral,25MG,Athrombin-K
Tablet/Oral,2MG,Athrombin-K
"Solution/Injection, Oral",0.67mCi/ML,Sodium Phosphate P 32
"Solution/Injection, Oral",1.5mCi/VIAL,Sodium Phosphate P 32
Solution/Im-Iv,1GM/10ML (100MG/ML),Robaxin
Tablet/Oral,350MG,Soma
Capsule/Oral,250MG,Soma
Tablet/Oral,250MG,Soma
Tablet/Oral,25MG,Esidrix
Tablet/Oral,50MG,Esidrix
Tablet/Oral,100MG,Esidrix
Suspension/Oral,EQ 25MG HCL/5ML,Vistaril
Tablet/Oral,10MG,Mellaril
Tablet/Oral,25MG,Mellaril
Tablet/Oral,100MG,Mellaril
Tablet/Oral,50MG,Mellaril
Concentrate/Oral,30MG/ML,Mellaril
Tablet/Oral,200MG,Mellaril
Tablet/Oral,15MG,Mellaril
Tablet/Oral,150MG,Mellaril
Concentrate/Oral,100MG/ML,Mellaril
Tablet/Oral,2MG,Disomer
Syrup/Oral,2MG/5ML,Disomer
Tablet/Oral,25MG,Hydrodiuril
Tablet/Oral,50MG,Hydrodiuril
Tablet/Oral,100MG,Hydrodiuril
Tablet/Oral,25MG,Presamine
Tablet/Oral,10MG,Presamine
Tablet/Oral,50MG,Presamine
For Solution/Ophthalmic,750 UNITS/VIAL,Alpha Chymar
Injectable/Injection,12.5MG/ML,Tofranil
Tablet/Oral,2.5MG,Provera
Tablet/Oral,5MG,Provera
Tablet/Oral,10MG,Provera
Injectable/Injection,EQ 40MG BASE/VIAL,Solu-Medrol
Injectable/Injection,EQ 125MG BASE/VIAL,Solu-Medrol
Injectable/Injection,EQ 500MG BASE/VIAL,Solu-Medrol
Injectable/Injection,EQ 1GM BASE/VIAL,Solu-Medrol
Injectable/Injection,EQ 2GM BASE/VIAL,Solu-Medrol
Solution/Drops/Ophthalmic,0.25%,Humorsol
Solution/Drops/Ophthalmic,0.13%,Humorsol
Suspension/Oral,250MG/5ML,Diuril
Tablet/Oral,25MG;0.1MG,Serpasil-Esidrix #1
Tablet/Oral,50MG;0.1MG,Serpasil-Esidrix #2
Injectable/Injection,25MG/ML,Durabolin
Injectable/Injection,50MG/ML,Durabolin
For Solution/Ophthalmic,750 UNITS/VIAL,Zolyse
Tablet/Oral,EQ 15MG BASE,Nardil
Solution/Topical,0.5%;1.8%,Virac Rex
"Capsule, Extended Release/Oral",5MG,Hispril
Tablet/Oral,50MG,Saluron
Tablet/Oral,8MG,Tacaryl
Syrup/Oral,4MG/5ML,Tacaryl
"Tablet, Chewable/Oral",3.6MG,Tacaryl
Tablet/Oral,25MG;0.125MG,Hydropres 25
Tablet/Oral,50MG;0.125MG,Hydropres 50
Syrup/Oral,2MG/5ML,Aristocort
Tablet/Oral,10MG,Marplan
For Solution/Ophthalmic,0.13%,Phospholine Iodide
For Solution/Ophthalmic,0.03%,Phospholine Iodide
For Solution/Ophthalmic,0.25%,Phospholine Iodide
For Solution/Ophthalmic,0.06%,Phospholine Iodide
Suspension/Oral,EQ 50MG BASE/5ML,Povan
Tablet/Oral,25MG,Oretic
Tablet/Oral,50MG,Oretic
Ointment/Ophthalmic,EQ 0.05% PHOSPHATE,Decadron
Cream/Topical,EQ 0.1% PHOSPHATE,Decadron
"Solution/Drops/Ophthalmic, Otic",EQ 0.1% PHOSPHATE,Decadron
Tablet/Oral,2MG,Akineton
Injectable/Injection,1MG/ML,Cogentin
Tablet/Oral,25MG;15MG,Apresoline-Esidrix
Tablet/Oral,0.25MG,Permitil
Tablet/Oral,2.5MG,Permitil
Tablet/Oral,5MG,Permitil
Tablet/Oral,10MG,Permitil
Injectable/Injection,10MG/ML,Kenalog-10
Injectable/Injection,EQ 50MG BASE/ML,Hydrocortone
Injectable/Injection,EQ,Decadron
Injectable/Injection,EQ,Decadron
Tablet/Oral,40MG,Isordil
Tablet/Oral,10MG,Isordil
Tablet/Oral,30MG,Isordil
Tablet/Oral,20MG,Isordil
Tablet/Oral,5MG,Isordil
Injectable/Injection,EQ 1GM BASE/VIAL,Orinase Diagnostic
Paste/Dental,0.10%,Kenalog In Orabase
"Aerosol, Metered/Inhalation",0.36MG/INH,Medihaler Ergotamine
Spray/Topical,0.147MG/GM,Kenalog
Solution/Drops/Ophthalmic,0.50%,Mydriacyl
Solution/Drops/Ophthalmic,1%,Mydriacyl
Injectable/Injection,EQ,Glucagon
Injectable/Injection,EQ,Glucagon
Injectable/Injection,0.05MG/ML;2%,Carbocaine W/ Neo-Cobefrin
Injectable/Injection,3%,Carbocaine
Syrup/Oral,25MG/5ML,Ulo
Tablet/Oral,50MG,Fovane
Tablet/Oral,25MG,Urese
Tablet/Oral,50MG,Cytoxan
Tablet/Oral,25MG,Cytoxan
Injectable/Injection,100MG/VIAL,Cytoxan
Injectable/Injection,200MG/VIAL,Cytoxan
Injectable/Injection,500MG/VIAL,Cytoxan (Lyophilized)
Injectable/Injection,1GM/VIAL,Cytoxan (Lyophilized)
Injectable/Injection,2GM/VIAL,Cytoxan (Lyophilized)
Injectable/Injection,100MG/VIAL,Lyophilized Cytoxan
Injectable/Injection,200MG/VIAL,Lyophilized Cytoxan
Injectable/Injection,500MG/VIAL,Cytoxan (Lyophilized)
Injectable/Injection,2GM/VIAL,Cytoxan (Lyophilized)
Injectable/Injection,1GM/VIAL,Cytoxan (Lyophilized)
Elixir/Oral,2.5MG/5ML,Prolixin
Tablet/Oral,0.125MG;25MG,Oreticyl 25
Tablet/Oral,0.25MG;25MG,Oreticyl Forte
Tablet/Oral,0.125MG;50MG,Oreticyl 50
Tablet/Oral,50MG,Aldactone
Tablet/Oral,25MG,Aldactone
Tablet/Oral,100MG,Aldactone
Injectable/Injection,40GM/VIAL,Ureaphil
Tablet/Oral,350MG,Rela
"Tablet, Extended Release/Oral",100MG,Norflex
Tablet/Oral,2.5MG,Naturetin-2.5
Tablet/Oral,5MG,Naturetin-5
Tablet/Oral,10MG,Naturetin-10
Solution/Drops/Otic,2%,Vosol
Tablet/Oral,5MG,Norlutate
Tablet/Oral,25MG;15MG;0.1MG,Ser-Ap-Es
Injectable/Injection,500MG/10ML,Fluorouracil
Injectable/Injection,2.5GM/50ML (50MG/ML),Fluorouracil
Injectable/Injection,10MG/ML,Aquamephyton
Injectable/Injection,1MG/0.5ML,Aquamephyton
Tablet/Oral,35MG,Plegine
Capsule/Oral,10MG,Librium
Capsule/Oral,5MG,Librium
Capsule/Oral,25MG,Librium
Injectable/Injection,1%,Carbocaine
Injectable/Injection,2%,Carbocaine
Injectable/Injection,1.50%,Carbocaine
Tablet/Oral,20MG,Tindal
Tablet/Oral,1.5MG,Alphadrol
Tablet/Oral,2MG,Naqua
Tablet/Oral,4MG,Naqua
Tablet/Oral,0.1MG;4MG,Naquival
Tablet/Oral,325MG;400MG,Robaxisal
Tablet/Oral,50MG,Hygroton
Tablet/Oral,25MG,Hygroton
Solution/Nasal,40USP UNITS/ML,Syntocinon
Injectable/Injection,100MG/AMP,Librium
Tablet/Oral,2MG,Choloxin
Tablet/Oral,4MG,Choloxin
Tablet/Oral,1MG,Choloxin
Tablet/Oral,6MG,Choloxin
Tablet/Oral,EQ 10MG SULFATE,Ismelin
Tablet/Oral,EQ 25MG SULFATE,Ismelin
"Aerosol, Metered/Inhalation",0.34MG/INH,Bronkometer
Solution/Inhalation,1%,Bronkosol
Solution/Inhalation,0.25%,Bronkosol
Tablet/Oral,EQ 10MG BASE,Parnate
Tablet/Oral,50MG;0.125MG,Salutensin
Tablet/Oral,25MG;0.125MG,Salutensin-Demi
Tablet/Oral,325MG;200MG,Soma Compound
Tablet/Oral,325MG;200MG;16MG,Soma Compound W/ Codeine
Elixir/Oral,0.5MG/5ML,Decadron
Capsule/Oral,250MG,Zarontin
Injectable/Injection,20MG/ML,Largon
Tablet/Oral,0.5MG;500MG,Colbenemid
Tablet/Oral,2MG;60MG,Disophrol
Injectable/Injection,EQ 180MG BASE/VIAL,Ivadantin
Injectable/Injection,5MG/ML,Akineton
"Tablet, Extended Release/Oral",1MG,Permitil
Ointment/Topical,0.25%,Medrol Acetate
